country,year,sex,age,suicides_no,population,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
Antigua and Barbuda,2012,female,15-24 years,0,8435,0.765,"1,211,411,704",13657,Millenials
Antigua and Barbuda,2012,female,25-34 years,0,7215,0.765,"1,211,411,704",13657,Millenials
Antigua and Barbuda,2012,female,35-54 years,0,15193,0.765,"1,211,411,704",13657,Generation X
Antigua and Barbuda,2012,female,5-14 years,0,8401,0.765,"1,211,411,704",13657,Generation Z
Antigua and Barbuda,2012,female,55-74 years,0,5512,0.765,"1,211,411,704",13657,Boomers
Antigua and Barbuda,2012,female,75+ years,0,1625,0.765,"1,211,411,704",13657,Silent
Antigua and Barbuda,2012,male,15-24 years,0,7893,0.765,"1,211,411,704",13657,Millenials
Antigua and Barbuda,2012,male,25-34 years,0,6629,0.765,"1,211,411,704",13657,Millenials
Antigua and Barbuda,2012,male,35-54 years,0,13280,0.765,"1,211,411,704",13657,Generation X
Antigua and Barbuda,2012,male,5-14 years,0,8475,0.765,"1,211,411,704",13657,Generation Z
Antigua and Barbuda,2012,male,55-74 years,0,4994,0.765,"1,211,411,704",13657,Boomers
Antigua and Barbuda,2012,male,75+ years,0,1051,0.765,"1,211,411,704",13657,Silent
Antigua and Barbuda,2013,female,15-24 years,0,8494,0.768,"1,192,925,407",13287,Millenials
Antigua and Barbuda,2013,female,25-34 years,0,7397,0.768,"1,192,925,407",13287,Millenials
Antigua and Barbuda,2013,female,35-54 years,0,15236,0.768,"1,192,925,407",13287,Generation X
Antigua and Barbuda,2013,female,5-14 years,0,8353,0.768,"1,192,925,407",13287,Generation Z
Antigua and Barbuda,2013,female,55-74 years,0,5787,0.768,"1,192,925,407",13287,Boomers
Antigua and Barbuda,2013,female,75+ years,0,1652,0.768,"1,192,925,407",13287,Silent
Antigua and Barbuda,2013,male,15-24 years,0,8061,0.768,"1,192,925,407",13287,Millenials
Antigua and Barbuda,2013,male,25-34 years,0,6782,0.768,"1,192,925,407",13287,Millenials
Antigua and Barbuda,2013,male,35-54 years,0,13302,0.768,"1,192,925,407",13287,Generation X
Antigua and Barbuda,2013,male,5-14 years,0,8405,0.768,"1,192,925,407",13287,Generation Z
Antigua and Barbuda,2013,male,55-74 years,0,5238,0.768,"1,192,925,407",13287,Boomers
Antigua and Barbuda,2013,male,75+ years,0,1072,0.768,"1,192,925,407",13287,Silent
Antigua and Barbuda,2014,female,15-24 years,0,8537,0.77,"1,280,133,333",14093,Millenials
Antigua and Barbuda,2014,female,25-34 years,0,7578,0.77,"1,280,133,333",14093,Millenials
Antigua and Barbuda,2014,female,35-54 years,0,15273,0.77,"1,280,133,333",14093,Generation X
Antigua and Barbuda,2014,female,5-14 years,0,8296,0.77,"1,280,133,333",14093,Generation Z
Antigua and Barbuda,2014,female,55-74 years,0,6085,0.77,"1,280,133,333",14093,Boomers
Antigua and Barbuda,2014,female,75+ years,0,1686,0.77,"1,280,133,333",14093,Silent
Antigua and Barbuda,2014,male,15-24 years,0,8208,0.77,"1,280,133,333",14093,Millenials
Antigua and Barbuda,2014,male,25-34 years,0,6928,0.77,"1,280,133,333",14093,Millenials
Antigua and Barbuda,2014,male,35-54 years,0,13325,0.77,"1,280,133,333",14093,Generation X
Antigua and Barbuda,2014,male,5-14 years,0,8335,0.77,"1,280,133,333",14093,Generation Z
Antigua and Barbuda,2014,male,55-74 years,0,5503,0.77,"1,280,133,333",14093,Boomers
Antigua and Barbuda,2014,male,75+ years,0,1083,0.77,"1,280,133,333",14093,Silent
Antigua and Barbuda,2015,female,55-74 years,1,6403,0.775,"1,364,863,037",14853,Boomers
Antigua and Barbuda,2015,female,15-24 years,0,8561,0.775,"1,364,863,037",14853,Millenials
Antigua and Barbuda,2015,female,25-34 years,0,7740,0.775,"1,364,863,037",14853,Millenials
Antigua and Barbuda,2015,female,35-54 years,0,15323,0.775,"1,364,863,037",14853,Generation X
Antigua and Barbuda,2015,female,5-14 years,0,8239,0.775,"1,364,863,037",14853,Generation Z
Antigua and Barbuda,2015,female,75+ years,0,1724,0.775,"1,364,863,037",14853,Silent
Antigua and Barbuda,2015,male,15-24 years,0,8331,0.775,"1,364,863,037",14853,Millenials
Antigua and Barbuda,2015,male,25-34 years,0,7059,0.775,"1,364,863,037",14853,Millenials
Antigua and Barbuda,2015,male,35-54 years,0,13370,0.775,"1,364,863,037",14853,Generation X
Antigua and Barbuda,2015,male,5-14 years,0,8268,0.775,"1,364,863,037",14853,Generation Z
Antigua and Barbuda,2015,male,55-74 years,0,5784,0.775,"1,364,863,037",14853,Boomers
Antigua and Barbuda,2015,male,75+ years,0,1087,0.775,"1,364,863,037",14853,Silent
Argentina,2011,male,75+ years,178,674738,0.819,"530,163,281,575",13946,Silent
Argentina,2011,male,15-24 years,693,3471151,0.819,"530,163,281,575",13946,Millenials
Argentina,2011,male,25-34 years,510,3258804,0.819,"530,163,281,575",13946,Millenials
Argentina,2011,male,55-74 years,416,2788575,0.819,"530,163,281,575",13946,Boomers
Argentina,2011,male,35-54 years,504,4738525,0.819,"530,163,281,575",13946,Generation X
Argentina,2011,female,15-24 years,172,3372659,0.819,"530,163,281,575",13946,Millenials
Argentina,2011,female,35-54 years,157,4893085,0.819,"530,163,281,575",13946,Generation X
Argentina,2011,female,25-34 years,102,3224774,0.819,"530,163,281,575",13946,Millenials
Argentina,2011,female,55-74 years,93,3268753,0.819,"530,163,281,575",13946,Boomers
Argentina,2011,female,75+ years,30,1260121,0.819,"530,163,281,575",13946,Silent
Argentina,2011,female,5-14 years,29,3472180,0.819,"530,163,281,575",13946,Generation Z
Argentina,2011,male,5-14 years,28,3592374,0.819,"530,163,281,575",13946,Generation Z
Argentina,2012,male,75+ years,225,688560,0.818,"545,982,375,701",14203,Silent
Argentina,2012,male,15-24 years,745,3480902,0.818,"545,982,375,701",14203,Millenials
Argentina,2012,male,25-34 years,616,3268154,0.818,"545,982,375,701",14203,Millenials
Argentina,2012,male,55-74 years,451,2839783,0.818,"545,982,375,701",14203,Boomers
Argentina,2012,male,35-54 years,554,4841057,0.818,"545,982,375,701",14203,Generation X
Argentina,2012,female,15-24 years,204,3380770,0.818,"545,982,375,701",14203,Millenials
Argentina,2012,female,35-54 years,164,4993138,0.818,"545,982,375,701",14203,Generation X
Argentina,2012,female,55-74 years,108,3328463,0.818,"545,982,375,701",14203,Boomers
Argentina,2012,female,25-34 years,102,3228400,0.818,"545,982,375,701",14203,Millenials
Argentina,2012,female,75+ years,33,1282726,0.818,"545,982,375,701",14203,Silent
Argentina,2012,male,5-14 years,29,3615254,0.818,"545,982,375,701",14203,Generation Z
Argentina,2012,female,5-14 years,17,3494571,0.818,"545,982,375,701",14203,Generation Z
